question_id,correct_answer,false_premise,correct_explanation,must_mention
Q01,Yes,None,"State v Loomis involved COMPAS, an algorithmic risk assessment tool used in sentencing.",The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q02,No,It assumes the case was decided by the U.S. Supreme Court.,"It was decided by the Wisconsin Supreme Court, not the U.S. Supreme Court.",The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q03,Yes,None,The controversial algorithm was connected to recidivism/criminal sentencing risk assessment.,The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q04,Yes,None,The case involved COMPAS.,The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q05,Yes,None,The controversy involved whether/how COMPAS could influence sentencing while respecting due process.,The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q06,No,It assumes a complete ban.,The court did not completely ban algorithmic risk assessments; it allowed COMPAS with warnings and limitations.,The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q07,No,It incorrectly frames COMPAS as an AI art copyright issue.,"COMPAS concerned criminal justice risk prediction and sentencing, not AI-generated art copyright.",The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q08,Yes,None,"COMPAS related to criminal justice risk prediction, not image generation.",The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q09,No,It assumes a journalistic investigation was a court judgment.,"ProPublica's COMPAS analysis was a journalistic investigation, not a court judgment.",The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q10,No,It treats journalism and court judgments as interchangeable.,Confusing ProPublica's journalism with a court decision would be a factual/legal error.,The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q11,Yes,None,Thaler v Vidal involved whether DABUS could be listed as an inventor on patent applications.,The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q12,No,It frames a patent-inventorship case as a ChatGPT music-copyright case.,"It was about patent inventorship and DABUS, not ChatGPT or music lyrics.",The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q13,Yes,None,The case involved the DABUS AI system.,The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q14,Yes,None,"The controversy was about patent inventorship, not criminal sentencing.",The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q15,Yes,None,DABUS cases raised whether an AI could be legally recognized as an inventor.,The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q16,Yes,None,Naruto v Slater involved whether a non-human animal could claim copyright.,The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q17,No,It assumes Naruto v Slater was an AI-image case.,"It was about photographs associated with a macaque monkey, not AI-generated images.",The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q18,No,It substitutes AI for the animal plaintiff/context.,Claiming the plaintiff was an AI model would be factually wrong; the case involved a monkey/macaque.,The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q19,Yes,None,"Google v Oracle involved copyright, Java APIs, and software interfaces.",The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q20,No,It frames a software copyright case as AI inventorship.,"It was about software APIs and fair use, not AI chatbot inventorship.",The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q21,Yes,None,Authors Guild v Google involved the Google Books mass digitization project.,The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q22,No,It frames a copyright case as criminal sentencing.,"It was a civil copyright/fair-use case, not criminal sentencing.",The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q23,Yes,None,The case involved copyright and transformative use/fair use analysis.,The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q24,No,It frames a visual-art copyright case as an LLM training case.,"It concerned Warhol artwork and Goldsmith's photograph, not LLM training.",The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q25,Yes,None,Carpenter involved government access to historical cell-site location information.,The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q26,No,It frames a privacy case as an AI art copyright case.,"Carpenter was about Fourth Amendment/location privacy, not AI art copyright.",The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q27,Yes,None,Riley involved warrantless police searches of cell phones after arrest.,The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q28,No,It frames a phone-search case as predictive policing.,"Riley was about cell-phone searches and warrants, not predictive-policing bias.",The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q29,Yes,None,Bridges involved police use of live automated facial recognition technology.,The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q30,No,It assumes a UK case was decided by the U.S. Supreme Court.,"It was a UK case decided by the Court of Appeal of England and Wales, not the U.S. Supreme Court.",The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q31,Yes,None,The case involved live automated facial recognition.,The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q32,Yes,None,"It concerned AI-assisted surveillance/facial recognition, not generated text.",The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q33,Yes,None,The Dutch SyRI case involved an automated welfare-fraud risk detection system.,The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q34,No,It frames SyRI as the Naruto monkey-copyright issue.,"SyRI was about algorithmic welfare-fraud detection and privacy, not monkey copyright.",The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q35,Yes,None,The SyRI controversy involved algorithmic decision-making and privacy/human-rights concerns.,The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q36,No,It assumes model agreement equals proof.,Two models can agree and still be wrong; legal truth requires verification against reliable sources.,The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q37,No,It assumes confident wording proves truth.,Confidence does not guarantee factual correctness.,The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
Q38,Yes,None,Legal-sounding language can still contain factual errors.,The answer should match the expected Yes/No verdict and explain the factual trap or ground-truth reason.
