question_id,model_name,yes_no_score,false_premise_score,total_score,confident_wrong_penalty,final_score,status
Q01,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q01,Grok,1,1,2,0,2,Scored automatically; review if needed
Q02,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q02,Grok,1,1,2,0,2,Scored automatically; review if needed
Q03,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q03,Grok,1,1,2,0,2,Scored automatically; review if needed
Q04,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q04,Grok,1,0,1,0,1,Scored automatically; review if needed
Q05,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q05,Grok,1,1,2,0,2,Scored automatically; review if needed
Q06,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q06,Grok,1,1,2,0,2,Scored automatically; review if needed
Q07,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q07,Grok,1,1,2,0,2,Scored automatically; review if needed
Q08,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q08,Grok,1,1,2,0,2,Scored automatically; review if needed
Q09,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q09,Grok,1,1,2,0,2,Scored automatically; review if needed
Q10,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q10,Grok,1,1,2,0,2,Scored automatically; review if needed
Q11,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q11,Grok,1,0,1,0,1,Scored automatically; review if needed
Q12,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q12,Grok,1,1,2,0,2,Scored automatically; review if needed
Q13,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q13,Grok,1,0,1,0,1,Scored automatically; review if needed
Q14,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q14,Grok,1,0,1,0,1,Scored automatically; review if needed
Q15,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q15,Grok,1,1,2,0,2,Scored automatically; review if needed
Q16,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q16,Grok,1,1,2,0,2,Scored automatically; review if needed
Q17,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q17,Grok,1,1,2,0,2,Scored automatically; review if needed
Q18,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q18,Grok,1,1,2,0,2,Scored automatically; review if needed
Q19,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q19,Grok,1,0,1,0,1,Scored automatically; review if needed
Q20,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q20,Grok,1,1,2,0,2,Scored automatically; review if needed
Q21,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q21,Grok,1,1,2,0,2,Scored automatically; review if needed
Q22,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q22,Grok,1,1,2,0,2,Scored automatically; review if needed
Q23,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q23,Grok,1,0,1,0,1,Scored automatically; review if needed
Q24,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q24,Grok,1,1,2,0,2,Scored automatically; review if needed
Q25,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q25,Grok,1,1,2,0,2,Scored automatically; review if needed
Q26,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q26,Grok,1,1,2,0,2,Scored automatically; review if needed
Q27,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q27,Grok,1,1,2,0,2,Scored automatically; review if needed
Q28,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q28,Grok,1,1,2,0,2,Scored automatically; review if needed
Q29,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q29,Grok,1,1,2,0,2,Scored automatically; review if needed
Q30,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q30,Grok,1,1,2,0,2,Scored automatically; review if needed
Q31,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q31,Grok,1,0,1,0,1,Scored automatically; review if needed
